"","X","ID","SURVEY1w7","PARENTw7","BRT1Aw7","BRT2Aw7","BRT2Bw7","ARA2Aw7","ARA2Bw7","HOUSEw7","HAK2Aw7","HAK2Bw7","JOB1Aw7","JOB1Bw7","JOB4Aw7","JOB4Bw7","INCOMEw7","INCOME1w7","PAR2w7","PHY1Aw7","PHY1Bw7","PHY3Aw7","PSY1A06w7","PSY1A07w7","PSY1B01w7","PSY1B02w7","PSY1B03w7","PSY1B04w7","PSY1B05w7","PSY1B06w7","PSY1D01w7","PSY1D02w7","PSY1D03w7","PSY1D04w7","PSY1D05w7","PSY1E01w7","PSY1E02w7","PSY1E03w7","PSY1E04w7","PSY1E05w7","PSY1E06w7","PSY1E07w7","PSY1E08w7","PSY1E09w7","PSY1E10w7","PSY2A01w7","PSY2A02w7","PSY2A03w7","PSY2A04w7","PSY2A05w7","PSY2A06w7","PSY2A07w7","PSY2A08w7","PSY2A09w7","PSY2A10w7","PSY3B01w7","PSY3B02w7","PSY3B03w7","FAM1Aw7","FAM1Bw7","FAM1Cw7","FAM1Dw7","FAM3A04w7","FAM3B01w7","FAM3B02w7","FAM3B03w7","FAM3B04w7","abuse_sum"
"1",1,15301,"조사성공","어머니",2003,1973,1977,"서울특별시",1016,"아파트","전문대 졸","전문대 졸","일을 하고 있다","일을 하고 있지 않다","판매종사자",NA,1600,"보통(중간) 수준","만족하는 편이다",153,40,"매우 건강하다","그런 편이다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","없다","그런 편이다",2,1,1,1,5
"2",2,15302,"조사성공","아버지",2003,1972,1972,"서울특별시",1011,"아파트","고졸","고졸","일을 하고 있다","일을 하고 있다","단순노무종사자","전문가 및 관련종사자",6600,"매우 잘 사는 편","만족하는 편이다",150,37,"매우 건강하다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","그런 편이다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",1,1,1,1,4
"3",3,15303,"조사성공","어머니",2003,NA,NA,"서울특별시",1011,"아파트","전문대 졸","고졸","일을 하고 있다","일을 하고 있지 않다","서비스종사자",NA,2400,"매우 잘 사는 편","만족하는 편이다",154,53,"매우 건강하다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","매우 그렇다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","매우 그렇다","그런 편이다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",3,1,1,1,6
"4",4,15304,"조사성공","어머니",2003,1970,1975,"서울특별시",1011,"단독 주택","고졸","고졸","일을 하고 있다","일을 하고 있다","단순노무종사자","사무종사자",4500,"보통(중간) 수준","만족하는 편이다",158,45,"건강한 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","그런 편이다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","그런 편이다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이다","있다","매우 그렇다",2,1,1,1,5
"5",5,15305,"조사성공","아버지",2003,1971,1971,"서울특별시",1011,"아파트","대졸","대졸","일을 하고 있다","일을 하고 있지 않다","서비스종사자",NA,14700,"잘 사는 편","만족하는 편이다",170,52,"매우 건강하다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,1,1,1,5
"6",6,15306,"조사성공","어머니",2003,1966,1968,"서울특별시",1011,"아파트","대졸","전문대 졸","일을 하고 있다","일을 하고 있다","관리자","서비스종사자",1500,"잘 사는 편","만족하는 편이다",164,58,"매우 건강하다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","매우 그렇다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","매우 그렇다","매우 그렇다","그렇지 않은 편이다","매우 그렇다","매우 그렇다","매우 그렇다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","매우 그렇다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","매우 그렇다","전혀 그렇지 않다","그렇지 않은 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",2,1,1,1,5
"7",7,15308,"조사성공","어머니",2003,1971,1970,"경기도",3003,"다세대(가구) 주택","고졸","고졸","일을 하고 있다","일을 하고 있다","장치, 기계조작 및 조립종사자","서비스종사자",5000,"약간 잘 사는 편","만족하는 편이다",163,45,"건강한 편이다","매우 그렇다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","그런 편이다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","그런 편이다","그런 편이다","매우 그렇다","그렇지 않은 편이다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",3,2,2,4,11
"8",8,15309,"조사성공","어머니",2003,1969,1975,"서울특별시",1011,"상가 주택","고졸","고졸","일을 하고 있다","일을 하고 있지 않다","사무종사자",NA,1300,"보통(중간) 수준","만족하는 편이다",165,65,"건강한 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,1,1,2,6
"9",10,15312,"조사성공","어머니",2003,1972,1972,"서울특별시",1011,"단독 주택","대졸","전문대 졸","일을 하고 있다","일을 하고 있지 않다","사무종사자",NA,5000,"약간 잘 사는 편","만족하는 편이다",172,63,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,2,1,1,6
"10",11,15313,"조사성공","어머니",2003,1976,1974,"서울특별시",1011,"아파트","대졸","전문대 졸","일을 하고 있다","일을 하고 있다","전문가 및 관련종사자","사무종사자",4000,"보통(중간) 수준","만족하는 편이다",158,50,"건강한 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","매우 그렇다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",3,3,3,4,13
